XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
0.5259	3.98E-05				
0.5299	3.95E-05				
0.5339	3.91E-05				
0.5378	4.01E-05				
0.5418	3.96E-05				
0.5459	3.94E-05				
0.5498	3.91E-05				
0.5538	3.87E-05				
0.5578	3.98E-05				
0.5618	3.93E-05				
0.5658	3.91E-05				
0.5699	3.88E-05				
0.5739	3.84E-05				
0.5778	3.95E-05				
0.5818	3.90E-05				
0.5858	3.88E-05				
0.5898	3.85E-05				
0.5938	3.83E-05				
0.5978	3.93E-05				
0.6018	3.88E-05				
0.6058	3.86E-05				
0.6098	3.84E-05				
0.6138	3.80E-05				
0.6178	3.91E-05				
0.6219	3.86E-05				
0.6258	3.84E-05				
0.6298	3.81E-05				
0.6338	3.78E-05				
0.6378	3.88E-05				
0.6418	3.82E-05				
0.6458	3.79E-05				
0.6498	3.76E-05				
0.6538	3.73E-05				
0.6578	3.82E-05				
0.6618	3.77E-05				
0.6658	3.74E-05				
0.6698	3.71E-05				
0.6738	3.67E-05				
0.6778	3.76E-05				
0.6818	3.70E-05				
0.6858	3.67E-05				
0.6898	3.63E-05				
0.6938	3.59E-05				
0.6978	3.69E-05				
					
-1.54E-01	-4.02E-05				
-1.55E-01	-3.94E-05				
-1.56E-01	-3.98E-05				
-1.57E-01	-4.13E-05				
-1.58E-01	-4.09E-05				
-1.59E-01	-4.25E-05				
-1.60E-01	-4.28E-05				
-1.61E-01	-4.14E-05				
-1.62E-01	-4.20E-05				
-1.63E-01	-4.40E-05				
-1.64E-01	-4.46E-05				
-1.65E-01	-4.51E-05				
-1.66E-01	-4.36E-05				
-1.67E-01	-4.55E-05				
-1.68E-01	-4.75E-05				
-1.69E-01	-4.66E-05				
-1.70E-01	-4.65E-05				
-1.71E-01	-4.62E-05				
-1.72E-01	-4.73E-05				
-1.73E-01	-4.84E-05				
-1.74E-01	-4.91E-05				
-1.75E-01	-4.86E-05				
-1.76E-01	-4.93E-05				
-1.77E-01	-5.07E-05				
-1.78E-01	-5.13E-05				
-1.79E-01	-4.96E-05				
-1.80E-01	-5.10E-05				
-1.81E-01	-5.28E-05				
-1.82E-01	-5.28E-05				
-1.83E-01	-5.24E-05				
-1.84E-01	-5.31E-05				
-1.85E-01	-5.50E-05				
-1.86E-01	-5.46E-05				
-1.87E-01	-5.46E-05				
-1.88E-01	-5.51E-05				
-1.89E-01	-5.62E-05				
-1.90E-01	-5.41E-05				
-1.91E-01	-5.63E-05				
-1.92E-01	-5.78E-05				
-1.93E-01	-5.56E-05				
-1.94E-01	-5.86E-05				
-1.95E-01	-5.77E-05				
-1.96E-01	-5.73E-05				
-1.97E-01	-5.87E-05				
-1.98E-01	-5.94E-05				
-1.99E-01	-5.98E-05				
-2.00E-01	-5.88E-05				
-2.01E-01	-5.87E-05				
-2.02E-01	-6.03E-05				
-2.03E-01	-6.08E-05				
-2.04E-01	-6.02E-05				
-2.05E-01	-6.13E-05				
-2.06E-01	-6.19E-05				
-2.07E-01	-6.11E-05				
-2.08E-01	-6.13E-05				
-2.09E-01	-6.15E-05				
-2.10E-01	-6.36E-05				
-2.11E-01	-6.36E-05				
-2.12E-01	-6.39E-05				
-2.13E-01	-6.53E-05				
-2.14E-01	-6.43E-05				
-2.15E-01	-6.38E-05				
-2.16E-01	-6.41E-05				
-2.17E-01	-6.41E-05				
-2.18E-01	-6.68E-05				
-2.19E-01	-6.71E-05				
-2.20E-01	-6.59E-05				
-2.21E-01	-6.84E-05				
-2.22E-01	-6.78E-05				
-2.23E-01	-6.91E-05				
-2.24E-01	-6.83E-05				
-2.25E-01	-7.02E-05				
-2.26E-01	-6.78E-05				
-2.27E-01	-7.11E-05				
-2.28E-01	-7.02E-05				
-2.29E-01	-6.87E-05				
-2.30E-01	-7.11E-05				
-2.31E-01	-7.07E-05				
-2.32E-01	-7.25E-05				
-2.33E-01	-6.99E-05				
-2.34E-01	-7.04E-05				
-2.35E-01	-7.29E-05				
